,author,content,created_at,headline,id,images,source,summary,symbols,updated_at,url
0,Lisa Levin,,2023-08-24T11:18:19Z,"Nvidia, C3.ai And Other Big Stocks Moving Higher In Thursday's Pre-Market Session",34020923,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/24/nvidia-logo_1.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/24/nvidia-logo_1.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/24/nvidia-logo_1.jpg'}]",benzinga,U.S. stock futures traded mostly higher this morning on Thursday. Here are some big stocks recording gains in today’s pre-market trading session.,"['AI', 'MSFT', 'NVDA', 'PLTR', 'SOUN', 'TSLA', 'U']",2023-08-24T11:18:40Z,https://www.benzinga.com/news/23/08/34020923/nvidia-c3-ai-and-other-big-stocks-moving-higher-in-thursdays-pre-market-session
1,Anan Ashraf,,2023-08-24T05:10:49Z,Want To Attend The Cybertruck Delivery Event? Tesla's Referral Credits Hold The Key,34017194,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Madrid,,Spain,-,February,23,,2023:,Elon,Musk,Tweets,About.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Madrid,,Spain,-,February,23,,2023:,Elon,Musk,Tweets,About.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Madrid,,Spain,-,February,23,,2023:,Elon,Musk,Tweets,About.jpeg'}]",benzinga,"Users with 30,000 referral credits can redeem it for an invitation to the upcoming Cybertruck delivery event which will be held in Texas.",['TSLA'],2023-08-24T05:10:49Z,https://www.benzinga.com/news/23/08/34017194/want-to-attend-the-cybertruck-delivery-event-teslas-referral-credits-hold-the-key
2,Benzinga Neuro,,2023-08-24T03:41:24Z,"Leaked Email Shows Elon Musk Calling For High Standard Of Quality In Cybertruck Production: 'If Lego And Soda Cans Do It, So Can We'",34016817,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Tesla_cybertruck_Photo_by_arda_savasciogullari_on_Shutterstock_8.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Tesla_cybertruck_Photo_by_arda_savasciogullari_on_Shutterstock_8.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Tesla_cybertruck_Photo_by_arda_savasciogullari_on_Shutterstock_8.jpeg'}]",benzinga, ,['TSLA'],2023-08-24T03:41:25Z,https://www.benzinga.com/news/23/08/34016817/leaked-email-shows-elon-musk-calling-for-high-standard-of-quality-in-cybertruck-production-if-lego-a
3,Anan Ashraf,,2023-08-24T03:05:34Z,"Tesla CEO Elon Musk Fuels Excitement Around Cybertruck, Says Will Announce Delivery Date, Specs Once 'Ready'",34016676,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Tesla_Cybertruck_18.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Tesla_Cybertruck_18.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Tesla_Cybertruck_18.jpeg'}]",benzinga, ,['TSLA'],2023-08-24T03:05:34Z,https://www.benzinga.com/news/23/08/34016676/tesla-ceo-elon-musk-fuels-excitement-around-cybertruck-says-will-announce-delivery-date-specs-once-r
4,Henry Khederian,,2023-08-23T23:43:22Z,What's Going On With Tesla Stock Today,34015754,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/23/elon-musk-6222396.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/23/elon-musk-6222396.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/23/elon-musk-6222396.jpg'}]",benzinga,"Tesla Inc (NASDAQ: TSLA) shares are trading higher by 4.8% to $240.43 across Wednesday&#39;s regular and after-hours session amid broader tech sector strength. Shares of several tech stocks are trading higher in sympathy with NVIDIA, which reported strong second-quarter finan",['TSLA'],2023-08-24T00:12:51Z,https://www.benzinga.com/news/23/08/34015754/whats-going-on-with-tesla-stock-today
5,Benzinga EV Insights,,2023-08-23T20:06:16Z,Elon Musk Says Cybertruck Is Tesla's 'Best Product Ever',34011292,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/23/cybersnow.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/23/cybersnow.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/23/cybersnow.png'}]",benzinga,"Elon Musk, CEO of Tesla Inc (NASDAQ: TSLA), took to X (formerly Twitter) Wednesday to post an image of himself seated in the driver&#39;s seat of what he termed a &#34;production candidate&#34; Cybertruck.",['TSLA'],2023-08-23T20:06:17Z,https://www.benzinga.com/top-stories/23/08/34011292/elon-musk-says-cybertruck-is-teslas-best-product-ever
6,Volumeleaders.com,,2023-08-23T19:10:37Z,Anticipating Reversals By Understanding Institutional Positioning,34011288,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/23/regularguy-eth-w9codxtsfts-unsplash.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/23/regularguy-eth-w9codxtsfts-unsplash.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/23/regularguy-eth-w9codxtsfts-unsplash.jpg'}]",benzinga,"Summary


	Institutions establish positions and then defend them, and the levels at which their largest trades arrive can be used to establish bias and define risk. 
	Positioning precedes trend reversals. Understanding when and where institutions trade with conviction provides valuable insight.
","['AAPL', 'IWY', 'META', 'MSFT', 'QQQ', 'SQQQ', 'TQQQ', 'TSLA']",2023-08-23T19:14:44Z,https://www.benzinga.com/23/08/34011288/anticipating-reversals-by-understanding-institutional-positioning
7,Happy Mohamed,,2023-08-23T17:48:35Z,"Elon Musk Tweets ""Just Drove The Production Candidate Cybertruck At Tesla Giga Texas!""",34009869,[],benzinga,,['TSLA'],2023-08-23T17:48:36Z,https://www.benzinga.com/news/23/08/34009869/elon-musk-tweets-just-drove-the-production-candidate-cybertruck-at-tesla-giga-texas
8,Benzinga Insights,,2023-08-23T17:35:20Z,10 Consumer Discretionary Stocks Whale Activity In Today's Session,34009672,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/options_image_0.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/options_image_0.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/options_image_0.jpeg'}]",benzinga, ,"['BURL', 'CMG', 'CVNA', 'FL', 'LULU', 'MCD', 'RH', 'SBUX', 'TSLA', 'ULTA']",2023-08-23T17:35:20Z,https://www.benzinga.com/markets/options/23/08/34009672/10-consumer-discretionary-stocks-whale-activity-in-todays-session
9,The Arora Report,,2023-08-23T15:46:28Z,Nvidia – King Of AI Becomes King Of Stock Market,34007819,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/yiorgos-ntrahas-mcauhlgirvs-unsplash_1_2.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/yiorgos-ntrahas-mcauhlgirvs-unsplash_1_2.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/yiorgos-ntrahas-mcauhlgirvs-unsplash_1_2.jpg'}]",benzinga,"To gain an edge, this is what you need to know today.

","['AAPL', 'AMD', 'AMZN', 'ANF', 'BTCUSD', 'DKS', 'FL', 'GLD', 'GOOG', 'LULU', 'META', 'MSFT', 'NKE', 'NVDA', 'PTON', 'QQQ', 'SLV', 'SMH', 'SPY', 'TSLA', 'UA', 'USO']",2023-08-23T15:50:13Z,https://www.benzinga.com/news/small-cap/23/08/34007819/nvidia-king-of-ai-becomes-king-of-stock-market
10,Benzinga Newsdesk,,2023-08-23T13:32:20Z,"Top 10 Stocks On WallStreetBets As Of August 23, 2023 (Via Swaggy Stocks)",34004366,[],benzinga,,"['AAPL', 'AI', 'AMC', 'AMD', 'MRNA', 'NVDA', 'PFE', 'PTON', 'QQQ', 'TSLA']",2023-08-23T13:32:20Z,https://www.benzinga.com/trading-ideas/23/08/34004366/top-10-stocks-on-wallstreetbets-as-of-august-23-2023-via-swaggy-stocks
11,Ramakrishnan M,,2023-08-23T13:07:51Z,"Lucid CEO Peter Rawlinson Admits Price Cuts Are Working, Teases Gravity Debut",34003592,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Rawlinson.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Rawlinson.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Rawlinson.jpeg'}]",benzinga,"While specific figures weren&#39;t disclosed, Rawlinson indicated that the price adjustments have led to increased sales and heightened product interest. ","['LCID', 'TSLA']",2023-08-23T13:07:52Z,https://www.benzinga.com/news/23/08/34003592/lucid-ceo-peter-rawlinson-admits-price-cuts-are-working-teases-gravity-debut
12,Anan Ashraf,,2023-08-23T12:15:00Z,Elon Musk Reacts To Curious Pattern In Tesla's Meteoric Revenue Surge Over Years: 'Almost Like There's A Trend',34002979,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Elon_Musk_Tesla_laughing_16.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Elon_Musk_Tesla_laughing_16.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Elon_Musk_Tesla_laughing_16.jpeg'}]",benzinga,"The conversation began with Jon Erlichman, a CTV National News anchor, sharing a fascinating perspective on Tesla&#39;s revenue milestones.","['RIVN', 'TSLA']",2023-08-23T12:51:35Z,https://www.benzinga.com/news/23/08/34002979/elon-musk-reacts-to-curious-pattern-in-teslas-meteoric-revenue-surge-over-years-almost-like-theres-a
13,Adam Eckert,,2023-08-23T12:39:51Z,Tesla Stock Is Sliding Today: What's Going On?,34002616,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/23/0x0-models_01.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/23/0x0-models_01.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/23/0x0-models_01.jpg'}]",benzinga,Tesla Inc (NASDAQ: TSLA) shares are trading lower Wednesday following reports the EV maker lowered production targets at Gigafactory Berlin-Br,['TSLA'],2023-08-23T12:39:52Z,https://www.benzinga.com/news/23/08/34002616/tesla-stock-is-sliding-today-whats-going-on
14,Shanthi Rexaline,,2023-08-23T10:15:00Z,"Cybertruck Launch Could Triple Tesla Stock By 2030, Says Fund Manager: 'Expect It To Ignite Interest In Entire Franchise'",34001154,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Szczecin,poland-october,2020:,Tesla,Cybertruck,In,An,Industrial,Urban,,3d,Illustration..jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Szczecin,poland-october,2020:,Tesla,Cybertruck,In,An,Industrial,Urban,,3d,Illustration..jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Szczecin,poland-october,2020:,Tesla,Cybertruck,In,An,Industrial,Urban,,3d,Illustration..jpeg'}]",benzinga,The fund manager expects Tesla deliveries to leapfrog from 1.85 million in 2023 to 10.2 million by 2030.,['TSLA'],2023-08-23T11:34:26Z,https://www.benzinga.com/analyst-ratings/analyst-color/23/08/34001154/cybertruck-launch-could-triple-tesla-stock-by-2030-says-fund-manager-expect-it-to-i
15,Shanthi Rexaline,,2023-08-23T08:52:57Z,Tesla's 'Biggest Risk' Right Now? Analyst Says This Could Crash 2023 EPS By Up To 35% Below Estimates,33998880,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Stuttgart,,Germany,-,08-11-2023:,Person,Holding,Smartphone,With,Logo,Of.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Stuttgart,,Germany,-,08-11-2023:,Person,Holding,Smartphone,With,Logo,Of.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Stuttgart,,Germany,-,08-11-2023:,Person,Holding,Smartphone,With,Logo,Of.jpeg'}]",benzinga,"Tesla faces earnings risk if it chooses to broaden configurator vehicle price cuts, says Future Fund&#39;s Gary Black.",['TSLA'],2023-08-23T10:27:32Z,https://www.benzinga.com/analyst-ratings/analyst-color/23/08/33998880/teslas-biggest-risk-right-now-analyst-says-this-could-crash-2023-eps-by-up-to-35-be
16,Benzinga Neuro,,2023-08-23T09:36:42Z,Tesla Reportedly Asked Highway Safety Officials To Redact Driver-Assistance Software Data In Crash Reports,33999326,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Elon_Musk_Tesla_2.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Elon_Musk_Tesla_2.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Elon_Musk_Tesla_2.jpeg'}]",benzinga, ,['TSLA'],2023-08-23T09:37:01Z,https://www.benzinga.com/news/23/08/33999326/tesla-reportedly-asked-highway-safety-officials-to-redact-driver-assistance-software-data-in-crash-r
17,Anan Ashraf,,2023-08-23T07:41:43Z,Tesla Offers $500 Rebate On New Powerwall Installations: Here's How to Get Yours,33998357,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/York,,Uk,-,June,25,2022:,Tesla,Powerwall,2,And.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/York,,Uk,-,June,25,2022:,Tesla,Powerwall,2,And.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/York,,Uk,-,June,25,2022:,Tesla,Powerwall,2,And.jpeg'}]",benzinga,The rebate started two months ago on June 15 and pertains to only Powerwall 2 and Powerwall+. ,['TSLA'],2023-08-23T07:41:44Z,https://www.benzinga.com/news/23/08/33998357/tesla-offers-500-rebate-on-new-powerwall-installations-heres-how-to-get-yours
18,Anan Ashraf,,2023-08-23T06:22:02Z,Tesla Ties With Lexus In US Auto Customer Satisfaction But Remains Behind This Foreign Rival,33998027,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Chonburi,,Thailand,-,November,18,2018,:,Toyota,Steering,Wheel.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Chonburi,,Thailand,-,November,18,2018,:,Toyota,Steering,Wheel.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Chonburi,,Thailand,-,November,18,2018,:,Toyota,Steering,Wheel.jpeg'}]",benzinga," Toyota leads mass-market vehicles and the industry overall with a score of 84 out of 100, as per the latest ACSI automobile study.","['GM', 'HMC', 'MZDAY', 'TM', 'TSLA']",2023-08-23T06:22:02Z,https://www.benzinga.com/news/23/08/33998027/tesla-ties-with-lexus-in-us-auto-customer-satisfaction-but-remains-behind-this-foreign-rival
19,Anan Ashraf,,2023-08-23T02:43:02Z,"Elon Musk Highlights Legacy Automakers' Slow EV Uptake, Warns Of Impending 'Kodak Moment'",33997228,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/elon_musk_ai4_28.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/elon_musk_ai4_28.png'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/elon_musk_ai4_28.png'}]",benzinga, ,"['KODK', 'TSLA']",2023-08-23T02:43:03Z,https://www.benzinga.com/news/23/08/33997228/elon-musk-highlights-legacy-automakers-slow-ev-uptake-warns-of-impending-kodak-moment
20,Benzinga Neuro,,2023-08-23T02:42:30Z,"Tesla Paying $20,000 To Stay On Elon Musk's X Platform Raises Eyebrows",33997226,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Elon_Musk_49.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Elon_Musk_49.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Elon_Musk_49.jpeg'}]",benzinga, ,['TSLA'],2023-08-23T02:42:55Z,https://www.benzinga.com/news/23/08/33997226/tesla-paying-20-000-to-stay-on-elon-musks-x-platform-raises-eyebrows
21,Benzinga Neuro,,2023-08-23T01:37:27Z,"AMTD, VFS, NVAX, DKS, TSLA: Why These 5 Stocks Are Drawing Investor Attention Today",33997001,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/Stocks_Photo_by_Phongphan_on_Shutterstock_6.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/Stocks_Photo_by_Phongphan_on_Shutterstock_6.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/Stocks_Photo_by_Phongphan_on_Shutterstock_6.jpeg'}]",benzinga, ,"['AMTD', 'DKS', 'NVAX', 'TSLA', 'VFS']",2023-08-23T01:50:58Z,https://www.benzinga.com/23/08/33997001/amtd-vfs-nvax-dks-tsla-why-these-5-stocks-are-drawing-investor-attention-today
22,Chris Katje,,2023-08-22T22:49:49Z,How Many Cybertruck Reservations Are There? Tesla Fans Predict A Staggering Total Ahead Of Launch,33995360,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/08/22/0x0-cybertruck_14.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/08/22/0x0-cybertruck_14.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/08/22/0x0-cybertruck_14.jpg'}]",benzinga,"One of the most anticipated vehicle launches of all time is nearing its launch date: the Cybertruck electric pickup truck from Tesla Inc (NASDAQ: TSLA).

The launch and subsequent production and deliveries of the Cybertruck are expected to be a major catalyst for Tesla going forward.","['F', 'GM', 'STLA', 'TSLA']",2023-08-22T22:49:50Z,https://www.benzinga.com/news/23/08/33995360/how-many-cybertruck-reservations-are-there-tesla-fans-predict-a-staggering-total-ahead-of-launch
23,AJ Fabino,,2023-08-22T20:30:12Z,"Did Apple Shower Warren Buffett With $645M This Year? Yes, They Did: The Power Of Dividends",33994092,"[{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2023/aapl_ai2.jpeg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2023/aapl_ai2.jpeg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2023/aapl_ai2.jpeg'}]",benzinga, ,"['AAPL', 'BRK', 'CVS', 'FDX', 'HLT', 'IEMG', 'IVV', 'JNJ', 'LOW', 'NVDA', 'PEP', 'PG', 'QCOM', 'QSR', 'SB', 'SBLK', 'SIG', 'TSLA']",2023-08-22T20:31:00Z,https://www.benzinga.com/news/large-cap/23/08/33994092/did-apple-shower-warren-buffett-with-645m-yes-they-did-the-power-of-dividends
